"","Id","OverallQual","GrLivArea","GarageCars","GarageArea","SalePrice"
"58",1518,5,1604,2,576,162549.684
"59",1519,7,1480,2,620,212205.372
"60",1520,5,1143,1,308,117262.905
"61",1521,5,1206,1,312,120551.916
"62",1522,6,1580,2,440,182707.778
"63",1523,4,1337,1,263,98024.703
"64",1524,5,1064,1,318,113761.418
"65",1525,5,972,1,305,108661.488
"66",1526,5,988,1,264,107754.058
"67",1527,4,985,2,676,109022.943
"68",1528,6,1224,1,280,147105.788
"69",1529,5,1175,2,484,137466.891
"70",1530,6,1395,2,440,173536.773
"71",1531,4,1844,1,240,122204.22
"72",1532,5,936,0,0,82908.548
"73",1533,5,1347,2,551,148772.473
"74",1534,6,1251,1,240,146785.139
"75",1535,5,1633,1,240,138733.171
"76",1536,5,1245,1,315,122609.697
"77",1537,2,832,2,780,51774.278
"78",1538,8,1566,1,288,218369.286
"79",1539,8,2268,2,624,278423.662
"80",1540,5,2256,0,0,148344.908
"81",1541,6,1470,2,624,184886.7
"82",1542,5,1612,1,363,142793.932
"83",1543,7,2068,1,315,217385.984
"84",1544,4,765,1,200,67055.833
"85",1545,6,1132,1,240,140885.952
"86",1546,6,1196,2,576,169312.754
"87",1547,5,1453,1,240,129810.031
"88",1548,6,1416,1,312,157951.1
"89",1549,5,1040,2,624,136581.456
"90",1550,5,1536,2,480,155196.832
"91",1551,6,1068,1,288,139704.224
"92",1552,4,1962,2,572,153142.052
"93",1553,6,1560,0,0,140830.954
"94",1554,6,1324,1,180,147915.288
"95",1555,5,1675,1,365,145999.987
"96",1556,5,1224,1,180,115969.134
"97",1557,5,1392,0,0,105513.836
"98",1558,6,919,1,231,129953.601
"99",1559,4,1884,0,0,102914.898
"100",1560,5,1680,2,450,161091.004
"101",1561,4,1832,0,0,100337.102
"102",1562,5,892,1,416,109299.706
"103",1563,5,864,1,280,102270.654
"104",1564,5,1373,2,591,151720.491
"105",1565,5,1440,2,480,150437.824
"106",1566,7,1483,2,690,215257.551
"107",1567,4,756,2,440,87881.918
"108",1568,6,1981,2,522,205987.747
"109",1569,3,1610,1,480,93570.004
"110",1570,6,1074,1,467,147426.224
"111",1571,4,1531,1,209,105402.053
"112",1572,5,1172,1,366,121106.246
"113",1573,7,1508,2,572,211602.472
"114",1574,5,1298,2,504,144393.93
"115",1575,7,1433,2,528,206059.465
"116",1576,6,1802,4,1017,240280.834
"117",1577,7,1222,2,615,199208.148
"118",1578,6,1445,2,484,177840.455
"119",1579,5,965,2,580,131038.449
"120",1580,7,1692,2,513,218276.702
"121",1581,5,1026,1,308,111462.864
"122",1582,5,876,2,484,122644.564
"123",1583,8,1978,3,850,284739.042
"124",1584,7,2098,2,621,242882.964
"125",1585,6,848,2,420,145590.782
"126",1586,3,640,1,240,35529.474
"127",1587,5,992,1,319,110233.64
"128",1588,5,1196,1,336,121051.658
"129",1589,4,1120,2,480,107585.61
"130",1590,6,1096,1,352,143746.86
"131",1591,4,960,0,0,57109.446
"132",1592,5,1296,1,260,122856.63
"133",1593,6,856,2,399,145116.328
"134",1594,4,2650,0,0,140887.816
"135",1595,5,1666,0,0,119096.838
"136",1596,7,2133,1,312,220483.795
"137",1597,5,2177,2,484,187139.037
"138",1598,7,1652,2,473,214634.662
"139",1599,8,1034,2,598,216172.152
"140",1600,8,1191,2,531,221176.087
"141",1601,2,540,1,200,1924.2
"142",1602,6,1107,1,625,155615.657
"143",1603,4,952,1,330,81718.124
"144",1604,8,1646,2,525,243482.934
"145",1605,8,1916,3,741,277144.414
"146",1606,6,1285,2,473,169452.517
"147",1607,6,2048,2,776,219844.55
"148",1608,7,1346,3,660,218539.232
"149",1609,7,1214,2,520,194871.154
"150",1610,5,1444,2,400,147317.876
"151",1611,5,1264,2,528,143703.92
"152",1612,5,1430,2,624,155914.926
"153",1613,5,1344,2,686,154223.284
"154",1614,5,945,1,253,105166.161
"155",1615,4,1092,0,0,63653.082
"156",1616,4,1092,0,0,63653.082
"157",1617,4,1092,1,286,86833.312
"158",1618,5,874,1,352,105752.8
"159",1619,5,833,2,495,120969.183
"160",1620,5,2432,2,616,205255.248
"161",1621,5,1274,2,576,146190.594
"162",1622,5,1479,1,275,132550.659
"163",1623,8,1803,2,482,249482.341
"164",1624,6,1797,2,616,200765.247
"165",1625,6,882,1,502,139359.938
"166",1626,6,1434,2,528,179120.184
"167",1627,6,1608,2,470,185340.162
"168",1628,8,2283,3,632,290816.603
"169",1629,7,1628,2,390,210002.236
"170",1630,8,2522,2,564,288526.524
"171",1631,8,1478,2,495,233910.33
"172",1632,8,1734,2,528,247969.792
"173",1633,7,1382,2,396,198056.146
"174",1634,6,1636,2,440,185483.866
"175",1635,6,1516,2,409,178249.288
"176",1636,6,1190,2,430,162959.528
"177",1637,5,1934,2,567,178535.472
"178",1638,7,2050,2,529,236687.484
"179",1639,6,1671,2,484,189043.953
"180",1640,7,2673,2,441,263921.399
"181",1641,6,1707,2,479,190621.191
"182",1642,7,1884,2,581,230615.222
"183",1643,8,1874,2,588,257398.692
"184",1644,8,1811,2,565,253321.599
"185",1645,5,1621,2,478,159327.581
"186",1646,6,1116,2,528,163355.97
"187",1647,7,1193,2,506,193249.429
"188",1648,5,1180,2,477,137424.41
"189",1649,5,1050,1,336,113814
"190",1650,4,864,2,576,98876.81
"191",1651,4,864,2,576,98876.81
"192",1652,6,987,1,264,134693.339
"193",1653,6,987,1,288,135688.811
"194",1654,6,1548,2,440,181121.442
"195",1655,7,1055,2,440,183670.807
"196",1656,6,1456,2,440,176560.726
"197",1657,6,1548,2,440,181121.442
"198",1658,6,1456,2,440,176560.726
"199",1659,7,836,1,345,157556.388
"200",1660,5,1120,2,656,141874.592
"201",1661,9,2772,3,754,347106.97
"202",1662,9,2690,3,864,347604.564
"203",1663,9,2020,3,896,315717.95
"204",1664,10,2674,3,762,369569.494
"205",1665,9,1736,3,834,299067.582
"206",1666,8,1782,3,932,278423.93
"207",1667,8,2520,3,640,302897.228
"208",1668,9,1743,3,927,303272.047
"209",1669,9,1531,3,700,283347.065
"210",1670,9,1808,3,850,303300.486
"211",1671,7,1760,2,583,224551.126
"212",1672,9,2452,3,886,336718.706
"213",1673,8,2400,3,730,300681.488
"214",1674,8,1606,3,871,267168.924
"215",1675,6,1358,2,484,173527.604
"216",1676,6,1306,2,624,176756.728
"217",1677,7,1358,2,484,200516.458
"218",1678,10,2492,3,949,368303.594
"219",1679,8,2200,3,685,288900.378
"220",1680,9,1884,2,649,287413.434
"221",1681,9,1456,2,539,261633.61
"222",1682,8,1712,3,701,265372.402
"223",1683,7,1405,2,478,202597.521
"224",1684,7,1456,2,390,201475.68
"225",1685,6,1490,2,392,176255.264
"226",1686,7,1220,2,397,190066.798
"227",1687,7,1374,2,400,197825.474
"228",1688,7,1630,2,436,212009.37
"229",1689,7,1594,2,434,210141.786
"230",1690,7,1489,2,400,203526.369
"231",1691,7,1342,2,393,195948.792
"232",1692,8,2004,3,644,277483.472
"233",1693,7,1374,2,400,197825.474
"234",1694,6,1514,2,394,177527.972
"235",1695,7,1430,2,400,200601.562
"236",1696,7,2312,3,658,266343.794
"237",1697,7,1430,2,410,201016.342
"238",1698,8,2687,3,810,318227.179
"239",1699,8,2063,3,815,287501.017
"240",1700,7,2061,2,647,242127.191
"241",1701,8,2232,2,623,276597.556
"242",1702,8,1696,3,972,275819.772
"243",1703,8,1658,3,726,263732.41
"244",1704,8,1702,3,844,270808.026
"245",1705,8,1432,2,492,231505.538
"246",1706,9,2490,3,795,334827.982
"247",1707,7,1436,2,529,206249.662
"248",1708,7,1402,2,625,208546.068
"249",1709,9,1530,3,984,295077.244
"250",1710,8,1448,2,692,240594.306
"251",1711,8,1795,3,782,272846.679
"252",1712,8,1836,2,517,252569.98
"253",1713,7,1662,3,711,236319.678
"254",1714,7,1553,2,588,214496.905
"255",1715,7,1653,2,628,221113.325
"256",1716,7,1218,2,576,197392.214
"257",1717,7,1141,2,484,189759.117
"258",1718,6,1158,0,0,120902.608
"259",1719,7,1812,2,478,222773.732
"260",1720,8,1512,3,845,261430.634
"261",1721,7,1114,2,576,192236.622
"262",1722,5,1114,0,0,91732.542
"263",1723,5,1114,2,576,138258.914
"264",1724,7,1450,3,788,229004.008
"265",1725,7,2122,2,559,241501.08
"266",1726,6,1730,2,528,193793.792
"267",1727,6,1332,2,542,174644.43
"268",1728,7,1540,2,495,209995.002
"269",1729,6,1400,2,465,174821.588
"270",1730,6,1882,2,612,204813.04
"271",1731,5,980,2,400,124316.004
"272",1732,5,864,2,732,132336.232
"273",1733,5,864,1,440,108907.134
"274",1734,5,1020,1,288,110335.866
"275",1735,5,912,1,300,105479.718
"276",1736,5,912,1,252,103488.774
"277",1737,8,2014,3,864,287104.362
"278",1738,7,1755,2,524,221856.059
"279",1739,7,3005,3,704,302605.871
"280",1740,6,1726,2,561,194964.274
"281",1741,6,1256,2,641,174983.204
"282",1742,6,1512,2,440,179336.814
"283",1743,7,1452,2,506,206088.836
"284",1744,8,1694,2,642,250715.364
"285",1745,7,1740,2,540,221776.112
"286",1746,8,2499,2,527,285851.659
"287",1747,7,2067,2,784,248107.115
"288",1748,6,2640,2,515,238366.008
"289",1749,5,1336,2,502,146194.748
"290",1750,6,1216,1,336,149031.972
"291",1751,7,2288,2,520,248112.556
"292",1752,5,864,1,312,103597.95
"293",1753,5,1568,2,440,155124.048
"294",1754,7,2061,2,498,235946.969
"295",1755,6,1320,2,495,172100.088
"296",1756,4,894,2,396,92897.96
"297",1757,5,864,1,308,103432.038
"298",1758,4,1362,3,768,142845.462
"299",1759,5,1728,2,576,168696.736
"300",1760,5,1313,2,610,149534.193
"301",1761,5,1292,2,520,144760.14
"302",1762,5,2140,2,549,188000.906
"303",1763,6,1576,2,368,179523.07
"304",1764,5,960,1,330,109103.562
"305",1765,6,1691,2,550,192772.961
"306",1766,6,1453,2,530,180145.027
"307",1767,6,1567,2,542,186294.085
"308",1768,5,1144,1,286,116399.962
"309",1769,7,1329,2,441,197295.287
"310",1770,6,988,1,297,136111.686
"311",1771,5,1202,1,304,120021.8
"312",1772,5,1382,1,350,130852.928
"313",1773,4,1200,1,294,92519.02
"314",1774,5,1866,2,495,172178.092
"315",1775,6,1062,1,297,139780.088
"316",1776,5,1112,2,480,134177.88
"317",1777,5,793,1,240,97091.851
"318",1778,5,1031,1,230,108475.445
"319",1779,5,1210,1,616,133359.52
"320",1780,7,1527,2,410,205824.923
"321",1781,5,1200,1,246,117516.93
"322",1782,3,792,1,366,48290.798
"323",1783,5,1352,2,720,156030.12
"324",1784,4,1039,1,281,83998.553
"325",1785,5,1078,1,264,112215.628
"326",1786,4,2377,2,528,171889.815
"327",1787,7,1690,2,624,222781.614
"328",1788,2,599,0,0,14764.115
"329",1789,5,846,2,576,124973.35
"330",1790,3,725,1,320,43061.419
"331",1791,6,2544,3,907,261183.898
"332",1792,6,1380,1,364,158323.328
"333",1793,6,1040,2,480,157597.478
"334",1794,6,951,2,480,153185.481
"335",1795,6,1105,1,308,142367.985
"336",1796,6,1142,1,384,147354.514
"337",1797,6,1133,2,900,179628.527
"338",1798,5,1041,1,294,111625.767
"339",1799,5,732,1,240,94067.898
"340",1800,5,1183,1,288,118416.265
"341",1801,4,1461,1,384,109190.593
"342",1802,6,1495,2,576,184135.081
"343",1803,6,1806,2,483,195694.83
"344",1804,5,941,2,564,129185.049
"345",1805,6,1045,1,264,137568.573
"346",1806,6,1378,1,162,149845.626
"347",1807,6,1944,2,324,195940.902
"348",1808,5,1306,2,472,143463.218
"349",1809,5,1464,0,0,109083.092
"350",1810,5,1558,2,400,152969.198
"351",1811,4,1701,0,0,93843.039
"352",1812,5,1447,0,0,108240.351
"353",1813,5,1328,1,308,126433.91
"354",1814,4,861,2,288,86782.427
"355",1815,2,612,1,308,9973.08
"356",1816,5,792,1,287,98991.744
"357",1817,4,1510,2,720,136873.8
"358",1818,6,2007,1,357,189115.253
"359",1819,6,1288,1,280,150278.46
"360",1820,4,816,0,0,49970.934
"361",1821,6,1480,1,207,156768.582
"362",1822,6,1521,3,640,199396.093
"363",1823,3,797,0,0,22040.193
"364",1824,6,1432,1,216,154762.38
"365",1825,5,1654,1,336,143756.092
"366",1826,5,1142,1,320,117711.068
"367",1827,5,995,1,264,108101.069
"368",1828,5,1582,1,250,136619.728
"369",1829,5,1072,5,1184,195348.038
"370",1830,6,1768,2,576,197668.51
"371",1831,7,1944,1,216,207132.61
"372",1832,5,2128,0,0,141999.564
"373",1833,6,1930,1,316,183597.534
"374",1834,6,1427,1,379,161275.429
"375",1835,7,1864,0,0,182890
"376",1836,6,1666,1,384,173330.766
"377",1837,4,892,0,0,53738.482
"378",1838,6,1403,1,308,157140.739
"379",1839,4,704,1,220,64861.44
"380",1840,5,1200,0,0,95995.82
"381",1841,5,1152,1,252,115386.294
"382",1842,5,1112,1,226,112324.946
"383",1843,5,1052,1,668,127683.842
"384",1844,6,1034,2,504,158295.512
"385",1845,5,1774,1,384,151695.796
"386",1846,6,1138,2,480,162455.632
"387",1847,5,2071,1,336,164428.033
"388",1848,2,660,0,0,11740.162
"389",1849,4,1383,2,498,121369.913
"390",1850,5,1073,1,340,115120.091
"391",1851,6,1639,1,240,166019.463
"392",1852,5,1089,1,252,112263.195
"393",1853,5,1049,1,266,110860.967
"394",1854,7,1061,2,462,184880.761
"395",1855,6,1338,2,576,176352.12
"396",1856,7,1879,2,473,225887.733
"397",1857,5,2016,2,576,182973.76
"398",1858,5,2228,2,720,199456.068
"399",1859,5,1535,2,400,151829.019
"400",1860,5,1229,2,672,147941.697
"401",1861,5,1513,2,400,150738.413
"402",1862,7,2787,4,820,307927.927
"403",1863,7,2787,4,820,307927.927
"404",1864,7,2787,4,820,307927.927
"405",1865,9,1680,3,1138,308900.806
"406",1866,9,1720,3,846,298772.15
"407",1867,8,1468,3,904,261696.624
"408",1868,8,1838,2,524,252959.472
"409",1869,7,1290,2,662,204528.578
"410",1870,8,1254,3,810,247189.07
"411",1871,8,1498,3,844,260695.134
"412",1872,6,1422,2,440,174875.244
"413",1873,7,1759,2,525,222095.829
"414",1874,5,990,1,440,115153.332
"415",1875,7,1463,2,539,208002.913
"416",1876,6,1772,2,492,194382.65
"417",1877,7,1444,2,577,208637.19
"418",1878,7,1492,2,608,212302.512
"419",1879,5,907,1,343,107015.407
"420",1880,5,914,2,444,122869.218
"421",1881,7,1611,3,1231,255360.015
"422",1882,8,2184,2,570,272019.718
"423",1883,7,1725,2,550,221447.297
"424",1884,7,1870,2,608,231041.106
"425",1885,8,1513,2,521,236723.813
"426",1886,8,1828,2,523,252422.264
"427",1887,7,1417,2,511,204561.171
"428",1888,8,1602,3,810,264440.474
"429",1889,6,1396,2,440,173586.346
"430",1890,4,1149,1,544,100360.297
"431",1891,6,1072,2,525,161050.324
"432",1892,4,876,1,320,77535.796
"433",1893,5,1368,1,195,123729.816
"434",1894,5,1678,0,0,119691.714
"435",1895,5,1560,1,313,138142.236
"436",1896,5,1298,1,256,122789.864
"437",1897,5,1268,1,250,121053.806
"438",1898,6,1242,1,180,143850.302
"439",1899,6,1232,2,440,165456.374
"440",1900,7,1228,1,215,171596.864
"441",1901,5,1567,2,440,155074.475
"442",1902,5,1273,1,307,123665.917
"443",1903,7,2480,2,400,252653.212
"444",1904,5,1112,1,390,119127.338
"445",1905,6,1561,2,463,182719.885
"446",1906,5,1523,1,295,135561.431
"447",1907,6,1906,2,576,204509.584
"448",1908,6,1032,2,452,156039.51
"449",1909,6,1229,2,462,166220.171
"450",1910,6,1229,2,462,166220.171
"451",1911,6,1982,2,501,205166.282
"452",1912,7,2365,2,551,253215.495
"453",1913,5,2168,2,576,190508.856
"454",1914,4,572,1,200,57488.244
"455",1915,8,1648,2,482,241798.526
"456",1916,2,810,1,280,18627.15
"457",1917,8,2052,3,642,279780.02
"458",1918,6,926,1,351,135277.972
"459",1919,6,1287,2,541,172372.167
"460",1920,5,1595,2,672,166085.415
"461",1921,9,2036,3,780,311699.67
"462",1922,9,1641,3,885,296473.525
"463",1923,6,2237,2,440,215277.239
"464",1924,7,1479,2,578,210413.723
"465",1925,7,2014,2,486,233119.302
"466",1926,9,1978,3,920,314631.356
"467",1927,5,1008,1,384,113722.878
"468",1928,5,1404,2,504,149648.668
"469",1929,5,796,1,336,101222.458
"470",1930,6,1091,1,429,146692.801
"471",1931,5,883,2,698,131867.867
"472",1932,5,1287,2,440,141194.035
"473",1933,5,1632,2,898,177293.644
"474",1934,6,1604,2,470,185141.87
"475",1935,6,1470,2,420,176425.188
"476",1936,6,1604,2,472,185224.826
"477",1937,6,1636,2,386,183244.054
"478",1938,5,1384,2,404,144509.408
"479",1939,8,1682,2,528,245391.996
"480",1940,8,1280,2,506,224551.134
"481",1941,6,1633,2,460,186164.707
"482",1942,6,1709,2,416,188107.223
"483",1943,8,1337,2,462,225551.763
"484",1944,8,2500,3,683,303689.322
"485",1945,9,1884,3,670,299601.994
"486",1946,6,1474,2,495,179734.33
"487",1947,9,1710,2,557,274971.756
"488",1948,6,1488,2,738,190507.506
"489",1949,7,1688,2,528,218700.58
"490",1950,7,1260,2,598,200386.796
"491",1951,7,2064,2,550,238252.544
"492",1952,7,1782,2,551,224314.436
"493",1953,6,1211,2,461,165286.379
"494",1954,7,2044,2,489,234730.926
"495",1955,5,1308,2,484,144060.1
"496",1956,7,2840,4,1314,331045.428
"497",1957,6,1444,2,473,177334.624
"498",1958,8,2340,3,787,300071.354
"499",1959,5,1792,2,480,167887.52
"500",1960,4,936,1,288,79182.88
"501",1961,5,864,2,576,125865.664
"502",1962,6,987,1,264,134693.339
"503",1963,6,987,1,352,138343.403
"504",1964,5,1302,1,264,123319.98
"505",1965,6,1456,2,460,177390.286
"506",1966,7,1055,2,440,183670.807
"507",1967,8,1582,3,905,267389.424
"508",1968,8,2464,3,650,300535.92
"509",1969,9,1950,3,706,304367.02
"510",1970,9,2748,3,850,349899.106
"511",1971,10,2790,4,1150,402730.948
"512",1972,9,2331,3,1003,335573.299
"513",1973,8,2088,3,656,282145.34
"514",1974,8,2332,3,756,298388.952
"515",1975,10,2470,3,789,360576.508
"516",1976,8,1575,3,732,259866.719
"517",1977,8,2649,3,746,313688.813
"518",1978,8,2690,3,795,317753.728
"519",1979,9,1866,3,870,307005.28
"520",1980,7,1367,2,484,200962.615
"521",1981,9,1800,3,944,306802.834
"522",1982,8,1342,2,550,229449.692
"523",1983,8,1342,2,550,229449.692
"524",1984,7,1626,2,474,213387.242
"525",1985,7,1455,3,644,223279.041
"526",1986,7,1576,3,668,230272.846
"527",1987,7,1246,2,428,192641.514
"528",1988,6,1515,2,393,177536.067
"529",1989,7,1720,2,400,214977.732
"530",1990,7,1986,2,434,229574.402
"531",1991,7,1358,2,484,200516.458
"532",1992,7,1892,2,431,224790.106
"533",1993,7,1414,2,403,199932.828
"534",1994,7,2322,2,400,244820.678
"535",1995,7,1651,2,450,213631.095
"536",1996,8,2199,2,516,270523.501
"537",1997,9,2172,3,687,314584.144
"538",1998,8,2006,3,938,289777.15
"539",1999,7,2125,2,576,242354.925
"540",2000,8,2501,3,751,306559.399
"541",2001,7,2197,3,783,265827.649
"542",2002,7,1578,3,642,229293.564
"543",2003,8,1861,3,851,278980.479
"544",2004,8,1874,3,880,280827.79
"545",2005,8,1460,2,480,232395.846
"546",2006,8,1372,2,588,232513.046
"547",2007,8,1660,3,660,261094.008
"548",2008,7,1218,2,462,192663.722
"549",2009,6,1696,2,542,192689.002
"550",2010,7,1663,2,478,215387.355
"551",2011,6,1175,0,0,121745.349
"552",2012,7,1162,2,483,190758.672
"553",2013,6,1609,2,525,187671.025
"554",2014,6,1680,2,474,189075.33
"555",2015,7,1657,2,483,215297.307
"556",2016,6,1677,2,627,195272.745
"557",2017,7,1737,2,506,220217.141
"558",2018,5,984,1,384,112533.126
"559",2019,5,864,1,420,108077.574
"560",2020,5,890,1,308,104720.936
"561",2021,5,864,1,276,102104.742
"562",2022,6,1430,2,484,177096.86
"563",2023,5,1641,2,490,160816.777
"564",2024,6,2683,2,473,238755.571
"565",2025,9,2786,2,636,331589.066
"566",2026,7,1245,2,495,195370.967
"567",2027,6,1200,2,480,165529.158
"568",2028,7,1392,2,540,204524.708
"569",2029,6,1549,2,440,181171.015
"570",2030,9,1638,2,495,268830.864
"571",2031,9,1310,2,545,254644.82
"572",2032,9,1419,2,588,261831.831
"573",2033,9,1557,2,484,264359.193
"574",2034,7,1404,2,462,201884.3
"575",2035,7,1789,2,546,224454.057
"576",2036,8,1586,2,480,238642.044
"577",2037,8,1607,2,480,239683.077
"578",2038,10,2393,2,846,347806.111
"579",2039,8,1239,2,477,221315.779
"580",2040,9,2944,3,864,360196.106
"581",2041,8,1671,2,550,245759.209
"582",2042,7,1812,2,469,222400.43
"583",2043,6,1427,2,516,178275.437
"584",2044,6,1740,2,512,193625.874
"585",2045,7,1620,2,578,217403.516
"586",2046,5,1625,2,484,159774.741
"587",2047,5,1464,2,470,151212.796
"588",2048,5,925,2,576,128889.617
"589",2049,5,1728,2,576,168696.736
"590",2050,7,1670,2,464,215153.674
"591",2051,5,1014,1,267,109167.39
"592",2052,5,1114,2,451,133074.164
"593",2053,5,1118,1,264,114198.548
"594",2054,4,906,1,231,75331.444
"595",2055,5,1496,2,450,151969.572
"596",2056,5,1337,1,264,125055.035
"597",2057,5,1036,1,312,112124.506
"598",2058,6,1988,2,480,204592.682
"599",2059,5,1176,1,292,118235.166
"600",2060,5,1440,1,480,139120.302
"601",2061,6,1570,2,441,182253.526
"602",2062,5,1104,1,384,118481.886
"603",2063,5,882,1,240,101503.848
"604",2064,5,1152,2,636,142631.368
"605",2065,5,950,2,400,122828.814
"606",2066,6,1790,2,540,197265.908
"607",2067,5,1764,1,301,147757.392
"608",2068,5,1824,2,484,169639.768
"609",2069,4,869,1,390,80092.245
"610",2070,5,1159,1,288,117226.513
"611",2071,4,672,1,308,66925.168
"612",2072,5,1436,4,1488,214684.4
"613",2073,5,1044,2,372,126327.292
"614",2074,7,1312,2,495,198692.358
"615",2075,6,1081,1,401,145035.687
"616",2076,5,876,2,576,126460.54
"617",2077,5,1256,1,311,122989.088
"618",2078,5,1027,1,299,111139.135
"619",2079,6,1320,2,576,175459.806
"620",2080,6,984,1,280,135208.268
"621",2081,6,1278,1,240,148123.61
"622",2082,5,1800,0,0,125739.62
"623",2083,5,1588,2,480,157774.628
"624",2084,5,825,1,350,103240.767
"625",2085,5,1117,1,264,114148.975
"626",2086,6,1133,1,308,143756.029
"627",2087,5,1323,2,400,141319.543
"628",2088,5,1360,1,330,128932.762
"629",2089,5,672,1,256,91757.166
"630",2090,6,1456,1,308,159768.108
"631",2091,4,1594,0,0,88538.728
"632",2092,4,1656,2,440,132497.618
"633",2093,5,1740,1,225,143415.312
"634",2094,7,1027,0,0,141397.399
"635",2095,6,1436,2,828,191662.73
"636",2096,5,899,1,200,100687.469
"637",2097,5,1080,0,0,90047.06
"638",2098,5,1499,3,869,180815.095
"639",2099,2,407,1,297,645.643000000004
"640",2100,3,1588,0,0,61252.436
"641",2101,5,1627,2,420,157219.295
"642",2102,7,1450,1,288,185629.964
"643",2103,5,1017,1,308,111016.707
"644",2104,5,2350,2,393,191940.668
"645",2105,5,1540,0,0,112850.64
"646",2106,2,1086,2,400,48604.18
"647",2107,7,2495,2,342,250991.083
"648",2108,5,984,1,308,109380.798
"649",2109,4,1093,1,308,87795.401
"650",2110,5,1143,1,288,116433.345
"651",2111,7,1668,1,252,194943.67
"652",2112,5,1738,1,240,143938.336
"653",2113,5,1210,1,240,117763.792
"654",2114,6,1290,1,200,147059.366
"655",2115,6,1672,1,240,167655.372
"656",2116,5,949,2,370,121534.901
"657",2117,6,1497,1,672,176898.593
"658",2118,6,1342,1,240,151296.282
"659",2119,6,1013,1,160,131668.525
"660",2120,5,1216,1,355,122831.2
"661",2121,4,896,1,280,76868.136
"662",2122,4,1136,1,336,91088.424
"663",2123,5,808,1,164,94683.118
"664",2124,7,2009,2,400,229304.329
"665",2125,5,1902,2,576,177322.438
"666",2126,6,1716,2,672,199072.602
"667",2127,6,1984,1,360,188099.508
"668",2128,6,1609,1,228,164034.537
"669",2129,6,768,2,440,142454.502
"670",2130,6,1536,1,308,163733.948
"671",2131,6,1969,2,400,200332.555
"672",2132,5,1308,2,400,140575.948
"673",2133,6,1040,2,320,150960.998
"674",2134,6,1236,1,384,152014.376
"675",2135,5,759,2,576,120660.499
"676",2136,3,1344,0,0,49156.624
"677",2137,5,1054,1,240,110030.404
"678",2138,5,1075,2,440,130684.559
"679",2139,6,1096,2,484,160539.478
"680",2140,5,992,1,294,109196.69
"681",2141,6,1034,2,504,158295.512
"682",2142,5,1073,1,270,112216.631
"683",2143,5,1126,2,506,135950.33
"684",2144,5,1140,2,400,132247.684
"685",2145,5,960,1,300,107859.222
"686",2146,6,1188,2,621,170782.68
"687",2147,5,1721,2,626,170423.625
"688",2148,5,1350,3,627,163391.042
"689",2149,5,904,3,912,153102.714
"690",2150,7,1524,2,478,208496.708
"691",2151,7,1079,1,249,165620.739
"692",2152,5,1518,0,0,111760.034
"693",2153,5,1509,1,322,135987.315
"694",2154,5,864,0,0,79339.292
"695",2155,6,1269,1,280,149336.573
"696",2156,6,2814,2,614,251098.032
"697",2157,7,1626,2,534,215875.922
"698",2158,7,2200,2,453,240971.106
"699",2159,7,2037,2,472,233678.789
"700",2160,7,1356,2,484,200417.312
